2026-06-29 15:54:08.195 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 48.0
2026-06-29 15:54:08.195 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 80 при шансах 15/100
2026-06-29 15:54:08.405 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:08.406 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 1 при шансах 84/100
2026-06-29 15:54:08.406 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 79
2026-06-29 15:54:08.406 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -31.0
2026-06-29 15:54:08.406 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Communicator
2026-06-29 15:54:08.406 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 3 золота
2026-06-29 15:54:09.416 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 63 при шансах 65/100
2026-06-29 15:54:09.992 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:09.992 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 52 при шансах 35/100
2026-06-29 15:54:09.992 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:09.992 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 86 при шансах 65/100
2026-06-29 15:54:10.171 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:10.171 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 68 при шансах 35/100
2026-06-29 15:54:10.171 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:10.171 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 70 при шансах 65/100
2026-06-29 15:54:10.363 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:10.363 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 88 при шансах 35/100
2026-06-29 15:54:10.363 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:10.363 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 43 при шансах 65/100
2026-06-29 15:54:10.523 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:10.523 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 60 при шансах 35/100
2026-06-29 15:54:10.523 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:10.523 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 46 при шансах 65/100
2026-06-29 15:54:10.719 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:10.720 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 78 при шансах 35/100
2026-06-29 15:54:10.720 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:10.720 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 83 при шансах 65/100
2026-06-29 15:54:10.885 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:10.886 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 35 при шансах 35/100
2026-06-29 15:54:10.886 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:10.886 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 87 при шансах 65/100
2026-06-29 15:54:11.048 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:11.048 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 43 при шансах 35/100
2026-06-29 15:54:11.049 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:11.049 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 10 при шансах 65/100
2026-06-29 15:54:11.386 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:11.387 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 31 при шансах 35/100
2026-06-29 15:54:11.387 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 72
2026-06-29 15:54:11.387 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 58.0
2026-06-29 15:54:11.387 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 98 при шансах 65/100
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 11 при шансах 35/100
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 84
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -26.0
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Guide
2026-06-29 15:54:11.548 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 5 золота
2026-06-29 15:54:15.524 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток быстрорастущих теней
2026-06-29 15:54:15.565 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 4 при шансах 58/100
